queue,seq,latency_ns
MutexQueue,269,5964
MutexQueue,270,973
MutexQueue,271,11330
MutexQueue,272,6408
MutexQueue,273,1521
MutexQueue,274,10795
MutexQueue,275,5937
MutexQueue,276,961
MutexQueue,277,10868
MutexQueue,278,5931
MutexQueue,279,1037
MutexQueue,280,5350
MutexQueue,281,488
MutexQueue,282,9914
MutexQueue,283,5058
MutexQueue,284,2026
MutexQueue,285,5710
MutexQueue,286,404
MutexQueue,287,11257
MutexQueue,288,6324
MutexQueue,289,1465
MutexQueue,290,10816
MutexQueue,291,5960
MutexQueue,292,968
MutexQueue,293,10492
MutexQueue,294,5547
MutexQueue,295,661
MutexQueue,296,10341
MutexQueue,297,5492
MutexQueue,298,520
MutexQueue,299,10060
MutexQueue,300,5187
MutexQueue,301,300
MutexQueue,302,9740
MutexQueue,303,5959
MutexQueue,304,1006
MutexQueue,305,5859
MutexQueue,306,878
MutexQueue,307,10186
MutexQueue,308,5235
MutexQueue,309,344
MutexQueue,310,10090
MutexQueue,311,5360
MutexQueue,312,377
MutexQueue,313,10730
MutexQueue,314,5734
MutexQueue,315,885
MutexQueue,316,10481
MutexQueue,317,5629
MutexQueue,318,651
MutexQueue,319,10688
MutexQueue,320,5731
MutexQueue,321,846
MutexQueue,322,10475
MutexQueue,323,5620
MutexQueue,324,629
MutexQueue,325,6311
MutexQueue,326,1357
MutexQueue,327,10725
MutexQueue,328,5765
MutexQueue,329,897
MutexQueue,330,10498
MutexQueue,331,5674
MutexQueue,332,693
MutexQueue,333,6399
MutexQueue,334,1431
MutexQueue,335,46116
MutexQueue,336,44393
MutexQueue,337,43123
MutexQueue,338,38154
MutexQueue,339,33250
MutexQueue,340,28209
MutexQueue,341,23383
MutexQueue,342,18397
MutexQueue,343,13512
MutexQueue,344,8486
MutexQueue,345,3633
MutexQueue,346,3476
MutexQueue,347,7102
MutexQueue,348,2145
MutexQueue,349,4870
MutexQueue,350,1099
MutexQueue,351,6476
MutexQueue,352,1525
MutexQueue,353,5469
MutexQueue,354,525
MutexQueue,355,5187
MutexQueue,356,983
MutexQueue,357,4986
MutexQueue,358,1960
MutexQueue,359,6599
MutexQueue,360,1662
MutexQueue,361,5369
MutexQueue,362,403
MutexQueue,363,5038
MutexQueue,364,808
MutexQueue,365,5307
MutexQueue,366,368
MutexQueue,367,6143
MutexQueue,368,1212
MutexQueue,369,5050
MutexQueue,370,855
MutexQueue,371,4909
MutexQueue,372,1158
MutexQueue,373,4897
MutexQueue,374,1048
MutexQueue,375,4875
MutexQueue,376,1084
MutexQueue,377,4874
MutexQueue,378,1011
MutexQueue,379,4865
MutexQueue,380,1044
MutexQueue,381,4809
MutexQueue,382,983
MutexQueue,383,5957
MutexQueue,384,999
MutexQueue,385,4867
MutexQueue,386,1093
MutexQueue,387,5114
MutexQueue,388,1375
MutexQueue,389,5305
MutexQueue,390,355
MutexQueue,391,5050
MutexQueue,392,810
MutexQueue,393,5351
MutexQueue,394,390
MutexQueue,395,4984
MutexQueue,396,65507
MutexQueue,397,60715
MutexQueue,398,55733
MutexQueue,399,51534
MutexQueue,400,46559
MutexQueue,401,41676
MutexQueue,402,36654
MutexQueue,403,4530
MutexQueue,404,4409
MutexQueue,405,4366
